Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,PSD,PNL,AUR,USR,RMDSZ,Other
INSCOP,Informat.ro,2025-10-25,2025-11-02,National,3000,Provided,Not Available,0.1%,19.5%,14.6%,38%,12.3%,4.8%,2.8%
CURS,,2025-10-14,2025-10-26,National,1036,Provided,Not Available,1%,24%,15%,35%,10%,4%,1%
INSCOP,informat.ro,2025-10-06,2025-10-10,National,1100,Provided,Not Available,0.1%,17.6%,14.8%,40%,11.5%,5.2%,2.9%
CURS,,2025-09-05,2025-09-19,National,1100,Provided,Not Available,1%,23%,16%,34%,12%,5%,2%
Avangarde,,2025-09-09,2025-09-18,National,1300,Provided,Not Available,1%,19%,13%,41%,12%,6%,2%
INSCOP,informat.ro,2025-09-01,2025-09-09,National,1103,Provided,Not Available,0.1%,17.9%,15.2%,40.8%,12.8%,4%,1.2%
Sociopol,RomâniaTV,2025-07-21,2025-07-23,National,1002,Provided,Not Available,1%,21%,15%,38%,12%,5%,1%
INSOMAR,,2025-07-15,2025-07-23,National,1012,Provided,Not Available,0.1%,17.0%,14.4%,36.5%,13.2%,4.9%,7.7%
FlashData,,2025-07-10,2025-07-12,National,7500,Provided,Not Available,0.5%,18%,16%,38%,16%,4.5%,Not Available
CURS,,2025-07-04,2025-07-10,National,1067,Provided,Not Available,1%,20%,15%,38%,12%,5%,2%
INSCOP,informat.ro,2025-06-20,2025-06-26,National,1150,Provided,Not Available,0.1%,13.7%,17.3%,40.5%,13.1%,5.2%,1.9%
CURS,,2025-05-26,2025-05-30,National,1287,Provided,Not Available,1%,24%,14%,35%,14%,5%,1%
INSCOP,,2025-05-26,2025-05-30,National,1150,Provided,Not Available,0.1%,17.4%,16%,38.1%,12.2%,4.5%,2.8%
Sociopol,RomâniaTV,2025-05-26,2025-05-28,National,1001,Provided,Not Available,1%,17%,14%,36%,12%,6%,3%
Avangarde,,2025-05-23,2025-05-28,National,1300,Provided,Not Available,1%,20%,16%,32%,15%,5%,2%
FlashData,,2025-04-24,2025-04-26,National,7500,Provided,Not Available,1%,19%,15%,26%,9%,4%,22%
FlashData,,2025-04-03,2025-04-05,National,7500,Provided,Not Available,0.5%,18.5%,13%,27%,14%,3%,17%
Verifield,,2025-03-24,2025-03-28,National,1100,Provided,Not Available,0.1%,21.2%,15%,31.7%,12.9%,5.1%,0.9%
FlashData,,2025-02-14,2025-02-16,National,7500,Provided,89.5%,1%,21%,12%,28%,19%,3%,1%
CURS,,2025-01-21,2025-01-25,National,1100,Provided,Not Available,1%,24%,15%,22%,13%,5%,6%
Avangarde,,2025-01-10,2025-01-16,National,1354,Provided,Not Available,1%,22%,13%,29%,13%,4%,1%
Atlas Intel,HotNews,2024-11-26,2024-11-28,National,2116,Provided,Not Available,0.1%,21.4%,13.4%,22.4%,17.5%,5.5%,Not Available
CIRA,Newsweek,2024-11-09,2024-11-13,National,1040,Provided,Not Available,1%,31%,20%,16%,12%,5%,Not Available
INSCOP,Libertatea,2024-11-07,2024-11-12,National,1100,Provided,Not Available,0.1%,31.1%,16.2%,20.7%,12.7%,4.5%,Not Available
CURS,,2024-10-30,2024-11-05,National,1067,Provided,Not Available,1%,32%,20%,15%,12%,5%,Not Available
BCS,Newsweek,2024-10-24,2024-10-28,National,1150,Provided,Not Available,0.1%,31%,20.5%,17.6%,16.5%,6.5%,1.2%
INSCOP,Libertatea,2024-10-11,2024-10-18,National,1100,Provided,Not Available,0.1%,30.2%,13.2%,21.4%,12.7%,3.7%,Not Available
CURS,,2024-10-11,2024-10-16,National,1006,Provided,Not Available,1%,31%,20%,18%,15%,3%,Not Available
INSCOP,Institutul pentru Libertate și Democrație,2024-09-11,2024-09-16,National,1002,Provided,Not Available,0.1%,30.1%,14.3%,14.7%,17.1%,5.0%,Not Available
CURS,,2024-08-13,2024-08-27,National,1067,Provided,Not Available,1%,33%,23%,14%,11%,5%,Not Available
INSCOP,News.ro,2024-06-19,2024-06-27,National,1100,Provided,Not Available,0.1%,29.4%,18.9%,14.7%,12.2%,4.6%,3.8%
INSCOP,,2024-05-20,2024-05-25,European,1100,Provided,Not Available,0.1%,Not Available,Not Available,17.5%,Not Available,6.0%,11.7%
Sociopol,,2024-05-17,2024-05-22,European,1002,Provided,Not Available,1%,Not Available,Not Available,21%,Not Available,5%,4%
INSCOP,News.ro,2024-04-12,2024-04-20,European,1100,Provided,Not Available,0.1%,Not Available,Not Available,16.7%,Not Available,5.1%,2.8%
Atlas Intel,Digi24,2024-04-05,2024-04-09,European,1764,Provided,Not Available,0.1%,Not Available,Not Available,19.9%,Not Available,4.9%,0.3%
Sociopol,,2024-03-26,2024-04-02,European,1002,Provided,Not Available,1%,Not Available,Not Available,23%,Not Available,4%,1%
CSPS,,2024-03-17,2024-03-29,European,2088,Provided,Not Available,1%,Not Available,Not Available,27%,Not Available,4%,11%
CURS,,2024-03-19,2024-03-28,European,1067,Provided,Not Available,1%,Not Available,Not Available,14%,Not Available,5%,5%
Ipsos,Euronews,2024-02-23,2024-03-05,European,970,Provided,Not Available,0.1%,Not Available,Not Available,20.7%,Not Available,3.4%,5.2%
INSCOP,,2024-02-14,2024-03-04,National,2000,Provided,Not Available,0.1%,32.8%,19.7%,16.5%,Not Available,3.9%,4.4%
INSCOP,News.ro,2024-02-22,2024-02-29,European,1100,Provided,Not Available,0.1%,Not Available,Not Available,20.6%,Not Available,3.9%,3.7%
INSOMAR,,2024-02-01,2024-02-29,European,1030,Provided,Not Available,0.1%,Not Available,Not Available,30.5%,Not Available,4.5%,3.3%
Sociopol,,2024-02-01,2024-02-29,European,Not Available,Not Available,Not Available,1%,Not Available,Not Available,28%,Not Available,5%,1%
CURS,,2024-02-03,2024-02-14,European,1067,Provided,Not Available,1%,31%,20%,20%,Not Available,4%,4%
INSOMAR,,2024-01-01,2024-01-31,European,1050,Provided,Not Available,1%,25%,21%,22%,9%,3%,6%
Sociopol,,2024-01-01,2024-01-31,European,Not Available,Not Available,Not Available,1%,29%,17%,23%,Not Available,5%,Not Available
CURS,,2024-01-15,2024-01-27,European,1082,Provided,Not Available,1%,30%,19%,21%,Not Available,5%,Not Available
INSCOP,News.ro,2024-01-16,2024-01-24,European,1100,Provided,Not Available,0.1%,29.5%,18.8%,18.4%,Not Available,4.8%,Not Available
CURS,,2023-12-26,2023-12-30,European,852,Provided,Not Available,1%,31%,19%,19%,9%,4%,2%
ARA Public Opinion,,2023-12-16,2023-12-28,National,1002,Provided,Not Available,0.1%,31.5%,16.7%,9.9%,15.0%,5.1%,7.7%
INSCOP,News.ro,2023-11-20,2023-11-27,National,1100,Provided,Not Available,0.1%,30.2%,20.1%,19.5%,11.9%,4.9%,1.3%
INSCOP,News.ro,2023-10-23,2023-11-02,National,1100,Provided,Not Available,0.1%,29.5%,18.4%,20.2%,14.1%,3.8%,1.4%
INSCOP,News.ro,2023-09-15,2023-09-22,National,1550,Provided,Not Available,0.1%,29.1%,20.4%,22.4%,11%,4.6%,1.8%
CURS,,2023-09-12,2023-09-22,National,1008,Provided,Not Available,1%,31%,19%,18%,11%,4%,7%
INSOMAR,,2023-08-28,2023-08-31,European,1030,Provided,Not Available,1%,25%,15%,27%,7%,4%,10%
CURS,,2023-07-08,2023-07-20,National,1064,Provided,Not Available,1%,31%,18%,20%,12%,4%,5%
INSCOP,,2023-06-01,2023-06-30,National,Not Available,Not Available,Not Available,0.1%,28.7%,18.0%,20.1%,12.7%,Not Available,Not Available
Geeks for Democracy,,2023-05-01,2023-06-30,National,806,Provided,Not Available,1%,31%,19%,18%,11%,5%,16%
CURS,,2023-05-19,2023-05-27,National,1082,Provided,Not Available,1%,31%,20%,17%,11%,5%,7%
CURS,,2023-05-12,2023-05-17,National,1067,Provided,Not Available,1%,32%,20%,17%,10%,5%,8%
CURS,,2023-03-10,2023-03-20,National,1105,Provided,Not Available,1%,33%,21%,16%,9%,5%,7%
INSCOP,,2023-02-05,2023-02-19,National,3000,Provided,Not Available,0.1%,31.7%,22.3%,18.2%,11.2%,4.6%,5.4%
INSCOP,,2023-02-01,2023-02-13,National,1000,Provided,Not Available,0.1%,30.4%,21.6%,19.1%,10.9%,4.3%,2.7%
Atlas Intel,,2023-01-27,2023-01-30,National,2000,Provided,Not Available,0.1%,25.8%,17.9%,18.6%,12.9%,6.7%,2.9%
CURS,,2023-01-10,2023-01-20,National,1067,Provided,Not Available,1%,36%,22%,14%,8%,5%,3%
INSCOP,,2022-12-01,2022-12-31,National,Not Available,Not Available,Not Available,0.1%,31.5%,20.2%,18.1%,10.9%,Not Available,Not Available
CURS,,2022-11-08,2022-11-22,National,1067,Provided,Not Available,1%,34%,24%,12%,9%,5%,8%
Sociopol,,2022-10-01,2022-10-31,National,Not Available,Not Available,Not Available,1%,36%,19%,14%,11%,4%,4%
CURS,,2022-09-08,2022-09-22,National,1015,Provided,Not Available,1%,35%,22%,15%,8%,5%,6%
Sociopol,,2022-08-01,2022-08-31,National,Not Available,Not Available,Not Available,1%,32%,15%,25%,11%,6%,11%
CURS,,2022-08-05,2022-08-17,National,Not Available,Not Available,Not Available,1%,32%,23%,13%,10%,Not Available,4%
Avangarde,,2022-07-22,2022-07-31,National,900,Provided,Not Available,1%,37%,23%,11%,9%,5%,3%
