Coalition | CI(80%) Bottom | CI(80%) Top | CI(90%) Bottom | CI(90%) Top | CI(95%) Bottom | CI(95%) Top | CI(99%) Bottom | CI(99%) Top
Alianța 2020 USR-PLUS + Partidul Alianța Liberalilor și Democraților + Partidul Mișcarea Populară + Partidul Național Liberal | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Alianța 2020 USR-PLUS + Partidul Alianța Liberalilor și Democraților + Partidul Mișcarea Populară + Partidul Național Liberal + Uniunea Democrată Maghiară din România | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Alianța 2020 USR-PLUS + Partidul Alianța Liberalilor și Democraților + Partidul Național Liberal | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Alianța 2020 USR-PLUS + Partidul Alianța Liberalilor și Democraților + Partidul Național Liberal + Uniunea Democrată Maghiară din România | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Alianța 2020 USR-PLUS + Partidul Mișcarea Populară | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Alianța 2020 USR-PLUS + Partidul Mișcarea Populară + Partidul Național Liberal | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Alianța 2020 USR-PLUS + Partidul Mișcarea Populară + Partidul Național Liberal + Uniunea Democrată Maghiară din România | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Alianța 2020 USR-PLUS + Partidul Național Liberal | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Alianța 2020 USR-PLUS + Partidul Național Liberal + Uniunea Democrată Maghiară din România | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Partidul Alianța Liberalilor și Democraților + Partidul Mișcarea Populară + Partidul Național Liberal + Uniunea Democrată Maghiară din România | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Partidul Alianța Liberalilor și Democraților + Partidul Național Liberal + Uniunea Democrată Maghiară din România | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
PRO România + Partidul Alianța Liberalilor și Democraților + Partidul Social Democrat | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Partidul Alianța Liberalilor și Democraților + Partidul Social Democrat | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Partidul Mișcarea Populară + Partidul Național Liberal | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Partidul Mișcarea Populară + Partidul Național Liberal + Uniunea Democrată Maghiară din România | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Partidul Național Liberal + Uniunea Democrată Maghiară din România | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Partidul Național Liberal | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
PRO România + Partidul Social Democrat | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
